Player,Team,GamesPlayed,MPG,FGM,FGA,3PM,3PA,FTM,FTA,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Devonte' Graham,CHA,23,33.6,6.1,14.9,3.6,8.6,2.9,3.5,3.1,1.7,1,2.7,3.7,7.7,0.6,0.2,18.7
Terry Rozier,CHA,23,32.5,6.3,14.4,2.7,6.7,2.4,2.8,2.7,2.3,0.7,3.6,4.3,4.2,1.3,0.2,17.7
P.J. Washington,CHA,23,27.9,4.5,9,1.3,3,1.4,2.2,1.2,2.7,0.9,4.1,5,1.7,1.1,0.8,11.7
Miles Bridges,CHA,23,30.7,5,11,1.6,4.3,1,1.4,1.6,2.1,1.4,4,5.4,1.9,0.5,0.8,12.6
Glenn Robinson,GSW,23,32,4.6,10.2,1.2,3.2,1.1,1.3,0.9,1.6,1.5,3,4.4,1.9,0.9,0.3,11.4
Ky Bowman,GSW,23,23.6,3.5,7.9,1,2.5,0.8,0.9,1.3,2,0.6,2.2,2.8,2.7,1,0.1,8.9
Marvin Williams,CHA,23,20.5,2.7,5.5,1.3,3.2,1.1,1.2,0.7,1.7,0.4,2.4,2.9,1,0.7,0.4,7.9
Malik Monk,CHA,23,21,3.7,8.3,1,3.9,1.2,1.4,1.5,1.7,0.3,2.4,2.7,2.3,0.4,0.2,9.6
Jordan Poole,GSW,23,24.8,2.6,9.8,1.3,5.1,1.8,2.1,1.3,1.9,0.2,2.2,2.3,2.1,0.7,0.3,8.2
Giannis Antetokounmpo,MIL,22,31.7,11.5,20.3,1.6,5,6.5,11,3.9,3.2,2.6,10.6,13.2,5.5,1.4,1.4,31
LeBron James,LAL,22,34.7,9.8,19.7,1.9,5.7,3.8,5.5,3.7,1.7,1,6,7,10.8,1.4,0.5,25.4
Andre Drummond,DET,22,33.9,7.4,13.5,0,0.5,2.6,4.2,3.9,3.8,4.6,12.1,16.8,3.2,1.7,2,17.3
Montrezl Harrell,LAC,22,29.7,8,13.2,0,0.4,3.2,5.1,1.8,2.2,3,5,8,2.2,0.9,1.2,19.1
DeMar DeRozan,SAS,22,34,8.4,16.3,0.1,0.4,4.9,6,2.5,2.9,0.5,5,5.5,4.7,0.9,0.5,21.7
Donovan Mitchell,UTA,22,34.6,9,20.6,2.3,6.2,4.4,5.3,2.1,2.3,0.9,3.8,4.7,3.6,1.4,0.3,24.7
Lou Williams,LAC,22,31.3,6.8,16,1.8,4.9,5.8,6.9,3.2,1.5,0.5,2.9,3.4,6.3,0.6,0.1,21.1
Eric Bledsoe,MIL,22,27.1,5.8,12.3,1.1,3.6,2.5,3.2,2.2,2.5,0.9,4.2,5.1,5.6,0.7,0.5,15.2
C.J. McCollum,POR,22,36.4,9,20,2.6,6.8,1.7,2,2,2.8,0.8,3.7,4.5,3.8,0.7,1,22.4
Zach LaVine,CHI,22,32.3,7.7,17.6,3,7.2,4.1,5,3.2,2.5,0.7,3.3,4,3.9,1.3,0.5,22.5
Wendell Carter  Jr.,CHI,22,29.5,4.9,8.6,0.1,0.7,2.8,4,1.6,4,3.6,6.3,9.9,0.9,0.7,0.9,12.7
Jabari Parker,ATL,22,28,6.6,13.3,1,3.8,1.8,2.5,1.9,3.2,1.9,4.4,6.3,1.9,1.5,0.5,16
Eric Paschall,GSW,22,31.9,6.4,12.5,0.8,2.5,3.8,4.6,1.7,2,1.5,3.9,5.5,1.8,0.3,0.3,17.3
Tomas Satoransky,CHI,22,26.9,3.5,7.7,1.2,3,1.6,1.8,2.1,2.1,0.9,2.5,3.4,5.4,1.5,0.1,9.7
Lauri Markkanen,CHI,22,29.4,4.1,11.4,1.8,5.7,3.6,4.4,1.9,1.9,1,6,6.9,1.7,0.8,0.5,13.6
Rudy Gay,SAS,22,23.2,4.2,9.1,0.9,3.2,2.2,2.5,1.6,1.5,1.3,4.6,5.9,1.9,0.4,0.6,11.4
Jakob Poeltl,SAS,22,19,2.5,4.4,0,0,0.7,1.3,1,1.9,2.3,3.9,6.2,1.5,0.6,1.3,5.7
